name,date,score
Anthony Hopkins,2023,5.6
Anthony Hopkins,2023,6.0
Anthony Hopkins,2023,7.6
Anthony Hopkins,2022,6.4
Anthony Hopkins,2022,4.4
Anthony Hopkins,2022,6.5
Anthony Hopkins,2021,5.0
Anthony Hopkins,2020,7.7
Anthony Hopkins,2020,4.3
Anthony Hopkins,2020,8.2
Anthony Hopkins,2019,2.9
Anthony Hopkins,2019,7.6
Anthony Hopkins,2016,8.5
Anthony Hopkins,2018,6.2
Anthony Hopkins,2017,7.9
Anthony Hopkins,2017,5.2
Anthony Hopkins,2016,6.7
Anthony Hopkins,2016,5.7
Anthony Hopkins,2016,5.3
Anthony Hopkins,2015,6.7
Anthony Hopkins,2015,5.3
Anthony Hopkins,2015,6.4
Anthony Hopkins,2015,6.1
Anthony Hopkins,2014,5.8
Anthony Hopkins,2013,6.8
Anthony Hopkins,2013,6.6
Anthony Hopkins,2012,6.8
Anthony Hopkins,2011,6.1
Anthony Hopkins,2011,7.0
Anthony Hopkins,2011,6.0
Anthony Hopkins,2010,3.9
Anthony Hopkins,2010,6.3
Anthony Hopkins,2010,5.9
Anthony Hopkins,2010,5.8
Anthony Hopkins,2009,6.3
Anthony Hopkins,2008,6.5
Anthony Hopkins,2008,8.0
Anthony Hopkins,2007,5.1
Anthony Hopkins,2007,6.3
Anthony Hopkins,1985,8.2
Anthony Hopkins,2007,4.8
Anthony Hopkins,2007,7.2
Anthony Hopkins,2006,6.1
Anthony Hopkins,2006,7.0
Anthony Hopkins,2005,7.8
Anthony Hopkins,2005,6.7
Anthony Hopkins,2004,5.6
Anthony Hopkins,2003,5.7
Anthony Hopkins,2003,5.4
Anthony Hopkins,2003,6.2
Anthony Hopkins,2002,7.2
Anthony Hopkins,2002,5.6
Anthony Hopkins,2001,6.9
Anthony Hopkins,2001,6.8
Anthony Hopkins,2000,6.3
Anthony Hopkins,2000,6.1
Anthony Hopkins,1999,7.1
Anthony Hopkins,1999,6.5
Anthony Hopkins,1998,7.2
Anthony Hopkins,1998,6.8
Anthony Hopkins,1997,7.3
Anthony Hopkins,1997,6.9
Anthony Hopkins,1996,6.3
Anthony Hopkins,1996,5.8
Anthony Hopkins,1995,7.1
Anthony Hopkins,1994,7.5
Anthony Hopkins,1994,5.9
Anthony Hopkins,1993,7.3
Anthony Hopkins,1985,6.3
Anthony Hopkins,1993,7.8
Anthony Hopkins,1983,5.3
Anthony Hopkins,1993,5.6
Anthony Hopkins,1993,6.0
Anthony Hopkins,1992,7.5
Anthony Hopkins,1992,7.4
Anthony Hopkins,1992,7.4
Anthony Hopkins,1992,5.4
Anthony Hopkins,1991,4.8
Anthony Hopkins,1991,6.2
Anthony Hopkins,1991,6.0
Anthony Hopkins,1991,8.6
Anthony Hopkins,1990,6.8
Anthony Hopkins,1990,5.4
Anthony Hopkins,1989,7.5
Anthony Hopkins,1989,5.5
